id,name,cuisine,price_range,avg_price_per_person,region,city,address,phone,rating,review_count,website,popular_hours
27,Contramar,Mexican,$,11.5,Europe,"South Jenniferfort, VU",1494 Joanna Spurs,250.740.0662x54409,4.1,233,https://www.wilson.com/,11:00-22:00
28,Pizzeria Brandi,Italian,$$,18.31,Middle East,"Marshview, NG",668 Ramirez Mountains Apt. 811,001-795-917-9627,3.9,529,https://www.hickman-ramirez.com/,16:00-21:00
29,Ristorante Grotta Palazzese,Italian,$$,24.99,Europe,"Lake Cassandra, SM",3865 Christine Lodge Suite 057,(365)287-9958x47702,4.3,563,https://www.zamora.com/,12:00-23:00
30,Ristorante Grotta Palazzese,Italian,$$$,47.06,Europe,"Mezaport, NP",8353 Perez Well Suite 130,+1-710-336-3133x8623,4.7,374,http://patterson.biz/,14:00-20:00
31,Blue by Eric Ripert,Caribbean,$$,26.9,North America,"New Craigfort, TN",82646 Good Ridge,(607)217-1763,4.3,549,http://www.gillespie-cruz.com/,16:00-20:00
32,Nopi,Mediterranean,$$$,43.37,North America,"Tinaborough, FM",5781 Meyer Lake,968.704.6001,3.9,290,https://russell.info/,12:00-21:00
33,The Eight,Chinese,$,4.16,Asia,"Crystalhaven, SZ",53705 Kimberly Square Apt. 270,001-544-311-5717,3.7,270,https://www.manning.com/,16:00-20:00
34,DiverXO,Spanish,$$,20.01,North America,"Port Ariana, VI",2139 John Well,(599)642-1994x9532,4.0,486,http://www.cohen.org/,14:00-21:00
35,Lasai,Brazilian,$,5.38,North America,"West Brookeshire, TN",9360 Tina Spur,001-221-425-8245,4.1,269,http://www.salinas-keith.com/,11:00-23:00
36,Mikla,Turkish,$$$,55.47,North America,"Maryburgh, SD",80857 Julie Extension Suite 177,966-632-3426,4.1,346,https://hicks.com/,16:00-23:00
37,Il Pellicano,Italian,$$,20.96,Europe,"Jonathanchester, SM",601 Horton Overpass,860.428.7173,4.2,528,https://www.jenkins.com/,12:00-20:00
38,Nomad,Moroccan,$,9.91,Europe,"Port Sean, LK",26924 Foster Parkways,001-958-534-8657x9018,4.0,275,https://www.torres-lopez.biz/,16:00-20:00
39,Duddell's,Chinese,$,5.69,North America,"Ericchester, CO",088 Michael Street Suite 912,(959)264-9752x7202,3.7,246,http://young.com/,15:00-23:00
40,Al Sufara,Lebanese,$$$$,165.64,Europe,"Port Thomas, UZ",4469 Danny Prairie,+1-855-464-4309,4.3,177,https://gonzalez-robertson.com/,14:00-23:00
41,Nopi,Mediterranean,$$$,51.9,Asia,"West Ralphmouth, IT",086 Rivera Lights Apt. 877,2644612277,3.6,278,https://james-barnett.com/,11:00-22:00
42,Ultraviolet by Paul Pairet,Chinese,$$,27.63,Europe,"South Tinaview, UY",83012 Christine Viaduct,001-462-504-5740x8558,4.0,496,https://www.martin-martinez.com/,13:00-23:00
43,Il Pellicano,Italian,$$,28.85,North America,"Thomasmouth, NM",857 Stacy Lane,+1-335-735-7955x547,3.8,505,http://www.pacheco-daniel.com/,15:00-23:00
44,French Laundry,American,$$$,67.93,Europe,"East Michael, HN",72298 Kimberly Motorway,001-228-887-7557x663,4.1,349,https://www.edwards-parker.biz/,15:00-20:00
45,Yan Toh Heen,Chinese,$,5.12,Africa,"Alishaview, RW",819 Brown Plaza Apt. 434,282-959-0228,3.8,246,https://trujillo-knapp.com/,15:00-23:00
46,L'Arpège,French,$$$$,267.75,Europe,"Lake Thomas, SO",855 Ryan Lock Suite 064,001-477-230-4185x5954,4.4,158,https://www.brooks.org/,12:00-21:00
47,Le Cinq,French,$$$$,210.47,North America,"North Dylanborough, MT",713 Reeves Curve,001-709-635-0162x55722,4.7,168,http://ward.com/,11:00-20:00
48,Sushi Saito,Japanese,$$$$,125.04,Middle East,"Higginstown, SA",487 Gibson Fort Apt. 332,246-855-7888x76198,5.0,188,http://www.rodriguez-patel.com/,15:00-22:00
49,Eleven Madison Park,American,$$,24.55,North America,"Johnsonport, CT",750 Donna Mountain Suite 159,583.250.4977x722,4.2,506,http://www.morgan.com/,11:00-23:00
50,Em Sherif,Lebanese,$,11.02,Europe,"New Cameronville, DM",68083 Laurie Roads,5533901113,3.4,235,http://crawford-wright.com/,12:00-23:00
51,Fasano,Brazilian,$$$,51.86,Asia,"Wardport, DZ",21899 Timothy Spur,(799)328-4518,4.2,336,http://gonzales.com/,16:00-21:00
52,Cosme,Mexican,$$$,38.07,North America,"West Scott, PA",043 Amy Rapid Suite 391,001-713-212-0028x71725,4.5,357,http://www.bennett.biz/,12:00-22:00
53,Quintonil,Mexican,$$,18.91,North America,"Karenton, MP",23409 Diana Loop,+1-373-368-8272x1006,3.6,516,https://anderson.com/,14:00-22:00
54,DiverXO,Spanish,$$,24.29,North America,"Port Michele, GA",748 Kaiser View,(474)640-4046,3.8,457,https://curry.com/,16:00-22:00
55,Le Jardin,Moroccan,$$$$,168.69,Europe,"Justinfurt, MY",05151 Scott Springs Suite 731,001-339-569-2239x654,4.6,178,https://lucas-morales.com/,15:00-20:00
56,Trattoria Zà Zà,Italian,$$,29.72,North America,"Ronaldborough, IL",560 Alejandra Estates Suite 204,746.415.3001x924,3.8,472,https://fischer-woods.com/,11:00-21:00
57,Nopi,Mediterranean,$$$$,265.41,North America,"Hillport, ND",643 Scott Village Suite 795,001-478-259-9628x391,4.4,191,http://www.keller.net/,13:00-21:00
58,Rafael,Peruvian,$,11.16,Europe,"Ryanfurt, SB",863 Sara Port Apt. 772,001-272-410-0107x589,3.4,223,https://www.collier.com/,14:00-21:00
59,Asador Etxebarri,Spanish,$$$,56.85,North America,"Tiffanyhaven, VI",3911 Brown Square Apt. 133,001-439-219-8250x975,4.7,387,https://www.roberson.com/,16:00-20:00
60,Quintonil,Mexican,$$$,48.01,North America,"South Andrew, ME",38724 Dean Meadows,531-231-7109,4.2,357,http://www.lee-jimenez.com/,16:00-20:00
61,Indian Accent,Indian,$,5.84,Europe,"Lake Johnny, CU",174 Corey Run,949.748.9513x8270,3.9,267,http://cruz.com/,12:00-22:00
62,Din Tai Fung,Chinese,$$,17.93,Europe,"East Jasonland, GA",7344 Blair Course,+1-319-944-0376x06792,4.3,502,https://anderson.com/,12:00-22:00
63,Rafael,Peruvian,$$$,38.03,North America,"Christinefurt, AL",63925 Rebecca Course Apt. 426,974-707-1335,4.1,352,https://www.yang-reynolds.com/,16:00-20:00
64,Indian Accent,Indian,$,8.91,Middle East,"Hamptonview, DK",34316 Jimmy Station Apt. 792,215-810-3979x1612,4.2,278,http://lopez.com/,11:00-21:00
65,Oteque,Brazilian,$$,23.52,Middle East,"Christopherview, LK",759 Valerie Branch Suite 759,659-979-2624x07584,3.9,499,https://clark-lee.biz/,13:00-22:00
66,Pizzeria Brandi,Italian,$$,21.02,North America,"Patricialand, MS",105 Jessica Courts,539.748.3969,3.6,450,https://www.baldwin.org/,12:00-21:00
67,Test Kitchen,Caribbean,$$$,50.45,North America,"Thomastown, IA",21745 Lucas Mountain Apt. 159,975-795-2827x7439,4.6,379,http://black-howard.com/,15:00-22:00
68,CTC Urban Gastronomy,Greek,$,7.52,South America,"Emmaview, NZ",975 Wallace Heights,396-538-7554x35933,3.6,249,https://www.mccoy.com/,15:00-20:00
69,Per Se,American,$$,19.22,North America,"Lake Robinville, VI",4666 Day Branch Apt. 407,001-458-332-2450,3.6,488,https://www.allen.org/,13:00-21:00
70,Maximo Bistrot,Mexican,$$$,73.47,North America,"Port Kimberly, ID",74273 Krause Burg,760-822-2335x3100,4.9,417,https://bradley-simmons.com/,13:00-23:00
71,Sud 777,Mexican,$$,32.1,North America,"New Lindsayfort, HI",605 James Spring Suite 640,(499)685-7003,4.1,494,http://miller.info/,15:00-23:00
72,Hakkasan,Chinese,$$,27.55,Europe,"West Justinstad, AM",82241 Jamie Alley Suite 466,001-290-425-5994x3297,3.7,516,https://www.barnes.org/,13:00-20:00
73,Tawlet,Lebanese,$,10.58,Europe,"Port Edward, FM",9757 Bowman Mill,+1-810-448-6990x802,3.8,268,https://www.bray.com/,11:00-23:00
74,Vietnam House,Vietnamese,$$,32.03,North America,"North Sherry, AZ",8491 Wilson Isle Suite 902,(352)885-1030x865,3.8,437,http://keller.info/,15:00-23:00
75,Sud 777,Mexican,$$$,71.9,North America,"Romeroborough, AR",6088 Susan Meadow,208-404-7348x232,4.3,332,http://shaffer.com/,15:00-23:00
76,Duddell's,Chinese,$$$$,78.69,Europe,"North Seanborough, CV",217 Warren Freeway Suite 996,535-805-1394,5.0,196,https://hawkins-brooks.info/,14:00-21:00
77,Saison,American,$$$,46.4,South America,"East Michaelmouth, CO",20412 Monica Parkway Suite 428,(490)958-2649x418,4.3,406,http://www.oliver.biz/,15:00-21:00
78,Jungsik,Korean,$$,25.49,North America,"South Justin, KS",95845 Bryant Mount Suite 361,001-535-680-6304x59676,4.0,487,https://roberts-taylor.info/,13:00-21:00
79,Gaggan Anand,Indian,$$,29.8,Europe,"Yorkborough, MA",24280 Jones Mission,588-739-4945x53040,3.9,477,http://hughes.com/,16:00-21:00
80,Quintonil,Mexican,$$$,54.91,North America,"Jacobhaven, MN",916 Jennifer Port,794.364.6236x095,4.6,391,https://www.massey.com/,15:00-20:00
81,Al Sufara,Lebanese,$$,14.88,Middle East,"Kristenfurt, JO",45596 Huang Drive,+1-333-460-5821,3.7,520,https://francis-neal.com/,14:00-21:00
82,Uludağ Kebapçısı,Turkish,$,7.93,Europe,"Jasonton, PL",2841 Pollard Tunnel Suite 366,+1-290-235-2212,3.5,215,http://www.smith.biz/,15:00-22:00
83,Pizzeria Brandi,Italian,$$,15.46,Europe,"Jenniferchester, LS",257 Mitchell Parkways,(966)437-2816,4.0,481,https://www.ware-cook.com/,12:00-21:00
84,Hakkasan,Chinese,$$,20.79,North America,"Lake Paulchester, RI",669 Spencer Springs,9082516582,4.4,553,https://reid.biz/,12:00-22:00
85,CTC Urban Gastronomy,Greek,$,9.88,North America,"Lake Christinestad, CT",5051 Yoder Fall,(316)672-9013x13942,3.9,248,https://salinas.com/,11:00-23:00
86,Trattoria Zà Zà,Italian,$$,28.3,North America,"Lake Philiptown, OK",227 Webb Centers,346-847-0868,4.1,577,http://peters.com/,11:00-21:00
87,Gymkhana,Indian,$$,17.19,Europe,"Leburgh, NG",1481 Sims Plains,348-575-6995x6214,3.9,494,http://www.madden.com/,16:00-23:00
88,Trishna,Indian,$$$$,152.73,North America,"Gregoryburgh, NE",293 Samuel Alley Suite 717,(242)696-4629x0954,4.5,170,http://www.delgado.net/,13:00-22:00
89,Nahm,Thai,$,12.82,North America,"Cannonfurt, CO",956 Bailey Rapid,001-913-938-3698,4.0,287,https://walters-johnson.com/,16:00-20:00
90,Lasai,Brazilian,$$$$,135.33,Asia,"Fordland, IQ",2531 William Roads,(292)720-8948x4866,4.5,203,http://www.sweeney.com/,11:00-21:00
91,Maximo Bistrot,Mexican,$$$,35.62,Europe,"South Curtis, US",40697 Cruz Mews,(779)965-3091,3.9,298,https://maxwell-conley.biz/,16:00-20:00
92,El Cardenal,Mexican,$,7.16,Asia,"North Amandaborough, ZW",6633 Miller Radial Apt. 952,001-969-797-3186,4.3,266,http://www.rush.com/,14:00-23:00
93,Mirazur,French,$$$$,175.53,North America,"Fosterberg, NV",983 Gibson Expressway,7338878220,4.4,214,https://www.zimmerman.org/,11:00-23:00
94,Antica Pesa,Italian,$$$$,104.37,North America,"Frederickmouth, NV",6213 Young Hollow Apt. 218,(826)429-9460x874,5.0,202,http://lara.net/,13:00-21:00
95,Sukiyabashi Jiro,Japanese,$$$$,88.05,Europe,"Shepherdstad, JP",0790 Cynthia Via Suite 310,+1-615-287-5948x158,4.6,180,http://www.baker.com/,15:00-21:00
96,Vietnam House,Vietnamese,$$,18.73,North America,"Christopherton, WY",76129 Jonathan Hill,950-238-2794,3.7,539,https://hammond.com/,14:00-22:00
97,Alinea,American,$$$,33.06,South America,"Hudsonmouth, ES",4262 Olson Locks,001-351-215-6747x501,4.3,354,https://www.mccarty-patel.net/,15:00-20:00
98,Kikunoi,Japanese,$$,22.0,Asia,"Levyberg, IT",314 Moore Glens Suite 703,982.688.0794x838,4.4,535,http://www.chapman-gomez.com/,12:00-21:00
99,Tickets,Spanish,$$,25.71,Europe,"East John, ID",14225 Riggs Track Suite 637,+1-302-686-5010x38853,3.7,484,https://www.dunn.biz/,12:00-23:00
100,Schwarzwaldstube,German,$,9.32,Europe,"New Leslietown, MG",9478 Simmons Turnpike Apt. 001,3075855315,3.5,215,http://fowler.net/,14:00-23:00
101,Arzak,Spanish,$$,21.09,Middle East,"Cooperhaven, DZ",7359 Williams Valleys Suite 567,001-622-418-1985x646,4.1,491,https://adams.com/,16:00-21:00
102,Antica Pesa,Italian,$$$,52.21,North America,"North Jodi, TN",507 Mora Gardens Suite 693,2603461883,4.3,350,https://www.robles.com/,12:00-23:00
103,Kyubey,Japanese,$$$,51.62,North America,"Melindafurt, CA",070 Nicole Corner Suite 198,001-735-365-1312x126,5.0,396,https://www.jackson-vaughan.com/,12:00-22:00
104,The Eight,Chinese,$$$,57.92,Europe,"East Jeremytown, BJ",7678 Laura Forge Suite 384,(873)242-7380,4.4,354,http://alexander.com/,12:00-21:00
105,Claro,Mediterranean,$$,30.23,Europe,"North Clarencestad, KI",832 Harmon Cape Apt. 331,(258)847-4136x38752,3.5,416,https://scott-mitchell.com/,12:00-20:00
106,Quintonil,Mexican,$$,19.29,Middle East,"Susanberg, BN",168 Amy Roads,363-208-0573x816,3.9,559,http://www.oconnor-barron.org/,16:00-22:00
107,Miznon,Mediterranean,$$,32.78,North America,"Sarahstad, MN",87318 Brown Drives Suite 292,001-665-692-1050x8351,4.1,493,http://www.higgins-obrien.info/,12:00-23:00
108,Le Jardin,Moroccan,$$,34.67,North America,"North Kristinborough, PW",137 Small Pine Suite 860,(981)279-4874x614,4.0,532,https://www.davis-lawrence.info/,16:00-22:00
109,Barbary,Mediterranean,$$,19.36,South America,"Petersonport, UG",7774 Casey Shoals,885.249.4296x20580,4.1,501,http://mason.net/,15:00-20:00
110,Dum Pukht,Indian,$$,21.81,Europe,"West Dennisview, ER",61359 Desiree River,+1-374-437-0694x347,4.3,483,http://brennan.com/,16:00-20:00
111,Varoulko Seaside,Greek,$$,21.69,Europe,"West Stacie, CH",8832 Melinda Coves Suite 423,301-965-8860,4.3,542,https://reed.com/,11:00-20:00
112,Xu,Vietnamese,$$$,61.06,North America,"Caseyborough, MI",825 Moore Squares Suite 533,202.259.3042,4.4,351,https://moody.net/,13:00-20:00
113,The Eight,Chinese,$$,20.88,North America,"Wagnertown, WI",0505 Joshua Place Apt. 428,001-679-361-8454,4.5,577,http://sanchez-ingram.org/,11:00-20:00
114,Kikunoi,Japanese,$$,22.15,North America,"New Cheryl, WA",8224 Kennedy Union Suite 499,001-274-449-0101,4.1,524,http://www.castillo.biz/,14:00-21:00
115,Sud 777,Mexican,$,5.0,Asia,"Kimborough, LC",04749 Pamela Hill,001-792-859-3977x38416,3.7,209,http://www.webster.biz/,15:00-21:00
116,Miznon,Mediterranean,$$,30.79,North America,"Orrton, AL",647 Angela Burg Apt. 577,993.542.3557x5182,3.9,470,http://smith-gonzales.info/,15:00-23:00
117,Le Jardin,Moroccan,$,7.93,North America,"Port Danielleville, CT",5826 Gonzalez Mount,262-504-1056x758,3.6,225,http://woods.com/,12:00-22:00
118,Gymkhana,Indian,$,12.94,North America,"West Edwardview, AZ",2311 Fisher Tunnel,(753)359-0734,3.9,242,http://www.hess-barr.com/,11:00-21:00
119,Funky Gourmet,Greek,$,12.71,North America,"South Scottmouth, MH",46227 Harvey Brooks Suite 368,+1-972-548-7547x316,4.0,251,http://lewis-moss.net/,11:00-22:00
120,L'Ambroisie,French,$$$,69.97,North America,"East Joshuachester, LA",789 Adrian Viaduct,953-637-5000x8542,4.4,393,https://smith.com/,12:00-23:00
121,Quintonil,Mexican,$,12.64,Europe,"Burtonborough, GR",1267 Jones Hill Apt. 270,+1-354-499-7868,3.9,243,https://benson.biz/,16:00-22:00
122,Lasai,Brazilian,$$$,59.61,Europe,"Stanleyfort, CV",08482 Gregory Island Suite 279,(260)681-0496x87542,4.1,354,https://hawkins.com/,12:00-21:00
123,DiverXO,Spanish,$$$$,183.01,North America,"New Luischester, GU",7413 Alejandro Skyway,3425868374,4.5,190,https://www.maldonado.com/,16:00-23:00
124,Da Enzo al 29,Italian,$$,11.79,Asia,"South Alexanderstad, KP",587 Diaz Valley Apt. 496,+1-834-325-1340x625,4.1,543,http://evans.com/,16:00-23:00
125,Osteria Francescana,Italian,$$$,52.01,Europe,"Lake Jeffreytown, GW",62540 Richmond Roads Apt. 865,+1-631-408-6313x8718,4.1,351,https://www.cooper.biz/,13:00-23:00
126,The Eight,Chinese,$$,29.35,Europe,"Hutchinsonshire, CY",5522 Mitchell Fields Apt. 068,+1-667-302-4696x071,4.0,508,http://wilson.info/,12:00-22:00
127,Quintonil,Mexican,$$$,63.81,Europe,"South Christophershire, TZ",87211 Lopez Squares,(614)319-1165x353,4.0,350,http://www.sawyer.com/,15:00-20:00
128,La Cabane,Caribbean,$$,26.49,North America,"Victoriachester, VI",5129 Brittany Extensions Apt. 678,(754)526-2724,4.3,572,http://www.martin.com/,16:00-21:00
129,Le Jardin,Moroccan,$,13.79,North America,"Taylorbury, NE",46395 Jill Heights,925.553.8407x30531,3.4,228,http://palmer.com/,11:00-21:00
130,Bun Cha Huong Lien,Vietnamese,$$,12.6,South America,"North Jessicaview, PH",4683 Floyd Islands Suite 763,763-637-1120x62358,3.9,509,https://www.willis.com/,12:00-23:00
131,Osteria Francescana,Italian,$$$$,205.69,Asia,"Robertville, FR",2291 Adam Meadow,302-553-8803x03188,4.8,199,http://www.ramos-roman.com/,14:00-21:00
132,Sushi Saito,Japanese,$$$,51.59,North America,"Lake Carolynberg, ME",253 Phelps Path,(938)877-2522x531,3.9,339,http://www.parker.org/,11:00-22:00
133,Le Du,Thai,$,8.39,Europe,"Lake Edwardmouth, TN",437 Allen Center Apt. 951,916.256.0199,3.9,220,http://acevedo.net/,16:00-21:00
134,Central,Peruvian,$$,28.29,Europe,"East Victor, SB",85031 Vasquez Path Apt. 885,(735)971-2388x294,4.1,519,http://www.campbell.org/,13:00-21:00
135,Mingles,Korean,$,11.27,Europe,"Derrickbury, GA",2229 Samuel River Suite 938,884.659.7482,3.6,222,https://robbins.com/,14:00-23:00
136,Sud 777,Mexican,$$,29.16,North America,"Billyport, VA",04742 Hobbs Plains,001-377-232-4666,4.1,553,https://gonzalez.net/,13:00-22:00
137,Facil,German,$,7.09,Europe,"Reneetown, AO",761 Ramos Isle Suite 656,001-880-693-5872,3.9,272,http://williams.com/,11:00-20:00
138,Ryugin,Japanese,$$,32.29,North America,"Michaelbury, HI",2534 Russell Roads Suite 288,948.259.8307x2551,4.2,556,http://www.tucker.com/,11:00-22:00
139,Dum Pukht,Indian,$$,18.73,North America,"East Rachel, NV",981 Carol Corners Apt. 976,3939605520,4.0,484,https://www.swanson-fleming.biz/,12:00-21:00
140,Dum Pukht,Indian,$$$,47.74,Europe,"Williamsland, ES",640 Joshua Expressway,001-503-629-4727x88806,4.2,378,http://www.douglas.com/,16:00-21:00
141,Il Pellicano,Italian,$$$,55.32,North America,"Stevenbury, MN",382 Brown Gateway Apt. 476,(928)638-4368,4.2,359,https://zimmerman.info/,16:00-23:00
142,Barbary,Mediterranean,$$$$,82.22,North America,"Lowerystad, OH",977 Christensen Mountain Suite 965,001-901-671-4736x17121,4.8,188,http://clark.biz/,11:00-21:00
143,El Cardenal,Mexican,$$,19.45,Europe,"Michaelfurt, TG",3696 Isaiah Crossing,+1-656-866-8281,4.6,571,http://maddox.net/,11:00-23:00
144,Antica Pesa,Italian,$$$,40.96,Europe,"East Tonya, KH",3119 Castillo Prairie,601.587.3353x945,4.4,345,http://alvarez.com/,14:00-21:00
145,Trattoria Zà Zà,Italian,$$$,36.68,Asia,"Medinachester, KP",96264 Sloan Ridges Apt. 342,+1-584-597-4245x664,4.2,304,https://www.sexton.com/,16:00-21:00
146,CTC Urban Gastronomy,Greek,$$$,35.19,Europe,"Hartfurt, LY",36998 Hubbard Passage,610-664-0762,4.1,366,http://wise.org/,11:00-20:00
147,Il Pellicano,Italian,$,5.32,Middle East,"South Anita, DO",2435 Flores Plaza Apt. 529,+1-529-291-1250x72572,3.1,227,https://www.underwood-jordan.org/,13:00-20:00
148,Dio Dekares i Oka,Greek,$$,12.07,Asia,"West Tammyfort, AO",204 Smith Port Suite 627,541-400-4576x4088,3.7,520,http://meyer.biz/,16:00-22:00
149,Pizzeria Brandi,Italian,$$,18.89,North America,"Julieborough, VA",74238 Martin Shoals,487.832.7506x28241,4.0,521,http://myers.com/,11:00-20:00
150,Asador Etxebarri,Spanish,$$,33.35,North America,"New Chase, MD",50890 Taylor Skyway Suite 760,001-360-683-0949x5990,4.2,556,https://west.com/,12:00-22:00
151,Bukhara,Indian,$$,34.63,North America,"New Brandonhaven, WI",5798 Samuel Glen Suite 654,+1-887-885-7607x0984,4.1,553,https://hale.com/,15:00-21:00
152,D.O.M.,Brazilian,$$,20.41,Europe,"Maryshire, CH",47367 Anthony Drive,001-417-792-1658x10249,3.8,546,http://www.rosales-washington.net/,16:00-20:00
153,Borgo San Jacopo,Italian,$$$,40.13,Europe,"Samanthaborough, UZ",0072 Bartlett Harbors,871.540.1344,4.3,393,https://giles-foster.com/,13:00-22:00
154,Varoulko Seaside,Greek,$$,22.83,North America,"Port Andrew, AK",051 Rodriguez Well Apt. 723,+1-754-374-5356x569,4.0,518,http://www.cruz.org/,11:00-22:00
155,Al Halabi,Lebanese,$$$,45.32,Asia,"Reginaldberg, NR",0234 Justin Shoals,489-547-2457,4.0,302,https://ortiz.net/,16:00-22:00
156,Vietnam House,Vietnamese,$,5.43,North America,"Kathybury, DC",5367 Newman Lakes Apt. 403,4624061829,3.6,233,http://pierce-bradshaw.com/,12:00-22:00
157,Isolina,Peruvian,$$$$,108.68,South America,"North Victorfurt, PT",846 Christopher Island,+1-786-533-0143,4.7,154,https://arias.net/,14:00-20:00
158,Kojima,Korean,$$$,68.04,Europe,"West Jonfurt, ZM",88932 Pace Prairie,436-708-1657,4.5,379,http://www.moore.info/,13:00-21:00
159,Pizzeria Brandi,Italian,$$$$,157.44,North America,"Leslieview, MH",275 David Cove,+1-875-413-9753x337,5.0,206,http://www.wood-lee.org/,14:00-21:00
160,Kikunoi,Japanese,$$$,60.37,Europe,"North Gloriafort, BE",7360 Nina Parks Suite 448,+1-464-809-9066,4.4,340,https://kane-goodman.com/,12:00-22:00
161,Antica Pesa,Italian,$$$,45.64,Asia,"Rebeccaberg, HT",66227 Tony Crossroad,(771)755-6478x023,4.3,347,http://www.flores-proctor.com/,12:00-21:00
162,Trishna,Indian,$$,31.49,North America,"Donaldmouth, PW",6533 Jackson Fort Suite 702,001-767-769-3990x783,4.0,518,https://www.zimmerman.info/,16:00-22:00
163,Central,Peruvian,$$$,30.01,Asia,"New Leahside, CY",350 Barber Well Suite 875,+1-559-227-0053x2488,4.3,361,http://anderson-cole.com/,15:00-21:00
164,Bun Cha Huong Lien,Vietnamese,$$,27.4,North America,"Randallberg, WV",4688 Jarvis Shoals Suite 952,+1-279-542-1103x41412,4.0,499,http://hoffman.com/,14:00-23:00
